@timestamp,integration_latency
2025-12-04 14:58:20.430,1238
2025-12-04 14:58:19.436,1088
2025-12-04 14:57:51.456,2589
2025-12-04 14:57:51.209,2741
2025-12-04 14:56:52.593,2461
2025-12-04 14:56:50.897,2306
2025-12-04 14:55:04.968,1567
2025-12-04 14:55:04.320,793
2025-12-04 14:53:16.381,4531
2025-12-04 14:53:16.160,4455
2025-12-04 14:52:53.513,1777
2025-12-04 14:52:47.667,5445
2025-12-04 14:52:46.256,2243
2025-12-04 14:52:44.568,5103
2025-12-04 14:51:38.547,1669
2025-12-04 14:51:09.438,880
2025-12-04 14:51:07.512,843
2025-12-04 14:50:51.922,1228
2025-12-04 14:49:21.242,3227
2025-12-04 14:49:20.608,2421
2025-12-04 14:47:33.605,1123
2025-12-04 14:47:31.010,1711
2025-12-04 14:46:22.157,4829
2025-12-04 14:46:21.149,1340
2025-12-04 14:46:18.600,4710
2025-12-04 14:45:13.015,964
2025-12-04 14:43:57.736,3842
2025-12-04 14:43:53.271,4287
2025-12-04 14:43:35.281,1830
2025-12-04 14:43:33.155,2184
2025-12-04 14:43:22.420,3023
2025-12-04 14:43:21.005,2754
2025-12-04 14:42:41.608,1740
2025-12-04 14:42:40.864,2056
2025-12-04 14:42:01.808,1749
2025-12-04 14:42:00.562,2123
2025-12-04 14:41:30.408,5805
2025-12-04 14:41:28.979,5115
2025-12-04 14:41:27.322,6390
2025-12-04 14:41:25.876,6060
2025-12-04 14:38:34.489,1983
2025-12-04 14:38:32.674,2086
2025-12-04 14:38:12.830,1466
2025-12-04 14:38:03.181,1982
2025-12-04 14:38:03.176,2306
2025-12-04 14:37:49.406,9266
2025-12-04 14:37:48.914,2193
2025-12-04 14:37:42.963,8491
2025-12-04 14:37:40.572,8276
2025-12-04 14:37:12.053,2910
2025-12-04 14:37:11.905,2760
2025-12-04 14:36:53.339,2853
2025-12-04 14:36:52.948,2301
2025-12-04 14:35:54.318,2094
2025-12-04 14:35:54.014,2397
2025-12-04 14:35:50.067,2363
2025-12-04 14:35:49.276,1860
2025-12-04 14:35:44.018,4508
2025-12-04 14:35:43.506,4324
2025-12-04 14:35:33.399,2070
2025-12-04 14:35:32.237,2312
2025-12-04 14:35:03.788,3129
2025-12-04 14:35:03.590,3354
2025-12-04 14:34:54.378,1867
2025-12-04 14:34:53.139,2308
2025-12-04 14:34:39.511,2752
2025-12-04 14:34:39.030,2898
2025-12-04 14:34:00.737,1177
2025-12-04 14:33:55.678,1849
2025-12-04 14:33:55.382,1781
2025-12-04 14:32:08.009,2834
2025-12-04 14:32:08.003,2060
2025-12-04 14:31:25.954,1888
2025-12-04 14:31:25.586,1634
2025-12-04 14:31:15.818,1857
2025-12-04 14:31:13.472,3457
2025-12-04 14:31:04.088,4954
2025-12-04 14:31:03.567,4369
2025-12-04 14:30:46.476,5478
2025-12-04 14:30:45.323,7239
